id,customer_id,order_date,status,beer_type
1,1,2023-01-01,returned,IPA
2,3,2023-01-02,completed,Lager
3,94,2023-01-04,completed,Stout
4,50,2023-01-05,completed,IPA
5,64,2023-01-05,completed,Pilsner
6,54,2023-01-07,completed,Stout
7,88,2023-01-09,completed,Lager
8,2,2023-01-11,returned,IPA
9,53,2023-01-12,completed,Pilsner
10,7,2023-01-14,completed,Stout
11,99,2023-01-14,completed,IPA
12,59,2023-01-15,completed,Lager
13,84,2023-01-17,completed,Stout
14,40,2023-01-17,returned,Pilsner
15,25,2023-01-17,completed,IPA
16,39,2023-01-18,completed,Lager
17,71,2023-01-18,completed,Stout
18,64,2023-01-20,returned,IPA
19,54,2023-01-22,completed,Pilsner
20,20,2023-01-23,completed,Stout
21,71,2023-01-23,completed,IPA
22,86,2023-01-24,completed,Lager
23,22,2023-01-26,return_pending,Stout
24,3,2023-01-27,completed,IPA
25,51,2023-01-28,completed,Pilsner
26,32,2023-01-28,completed,Stout
27,94,2023-01-29,completed,IPA
28,8,2023-01-29,completed,Lager
29,57,2023-01-31,completed,Stout
30,69,2023-02-02,completed,IPA
31,16,2023-02-02,completed,Pilsner
32,28,2023-02-04,completed,Stout
33,42,2023-02-04,completed,IPA
34,38,2023-02-06,completed,Lager
35,80,2023-02-08,completed,Stout
36,85,2023-02-10,completed,IPA
37,1,2023-02-10,completed,Pilsner
38,51,2023-02-10,completed,Stout
39,26,2023-02-11,completed,IPA
40,33,2023-02-13,completed,Lager
41,99,2023-02-14,completed,Stout
42,92,2023-02-16,completed,IPA
43,31,2023-02-17,completed,Pilsner
44,66,2023-02-17,completed,Stout
45,22,2023-02-17,completed,IPA
46,6,2023-02-19,completed,Lager
47,50,2023-02-20,completed,Stout
48,27,2023-02-21,completed,IPA
49,35,2023-02-21,completed,Pilsner
50,51,2023-02-23,completed,Stout
51,71,2023-02-24,completed,IPA
52,54,2023-02-25,return_pending,Lager
53,34,2023-02-26,completed,Stout
54,54,2023-02-26,completed,IPA
55,18,2023-02-27,completed,Pilsner
56,79,2023-02-28,completed,Stout
57,93,2023-03-01,completed,IPA
58,22,2023-03-01,completed,Lager
59,30,2023-03-02,completed,Stout
60,12,2023-03-03,completed,IPA
61,63,2023-03-03,completed,Pilsner
62,57,2023-03-05,completed,Stout
63,70,2023-03-06,completed,IPA
64,13,2023-03-07,completed,Lager
65,26,2023-03-08,completed,Stout
66,36,2023-03-10,completed,IPA
67,79,2023-03-11,completed,Pilsner
68,53,2023-03-11,completed,Stout
69,3,2023-03-11,completed,IPA
70,8,2023-03-12,completed,Lager
71,42,2023-03-12,shipped,Stout
72,30,2023-03-14,shipped,IPA
73,19,2023-03-16,completed,Pilsner
74,9,2023-03-17,shipped,Stout
75,69,2023-03-18,completed,IPA
76,25,2023-03-20,completed,Lager
77,35,2023-03-21,shipped,Stout
78,90,2023-03-23,shipped,IPA
79,52,2023-03-23,shipped,Pilsner
80,11,2023-03-23,shipped,Stout
81,76,2023-03-23,shipped,IPA
82,46,2023-03-24,shipped,Lager
83,54,2023-03-24,shipped,Stout
84,70,2023-03-26,placed,IPA
85,47,2023-03-26,shipped,Pilsner
86,68,2023-03-26,placed,Stout
87,46,2023-03-27,placed,IPA
88,91,2023-03-27,shipped,Lager
89,21,2023-03-28,placed,Stout
90,66,2023-03-30,shipped,IPA
91,47,2023-03-31,placed,Pilsner
92,84,2023-04-02,placed,Stout
93,66,2023-04-03,placed,IPA
94,63,2023-04-03,placed,Lager
95,27,2023-04-04,placed,Stout
96,90,2023-04-06,placed,IPA
97,89,2023-04-07,placed,Pilsner
98,41,2023-04-07,placed,Stout
99,85,2023-04-09,placed,IPA
